issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,6,of any of,...t replicate or overlap with the content **of any of** the other selected units.**  The qualif...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,The phrase 'of any of' is grammatically correct and commonly used in British English.
1,9,fueled,... discuss key questions such as:<br>What **fueled** Southern resistance to Civil<br>Rights?...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,90,"The British English spelling for the past tense of 'fuel' is 'fuelled', not 'fueled'."
2,9,Statesthe,...es of African Americans in the Northern **Statesthe** activities of the Ku Klux Klan.        ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'States' and 'the' have been merged due to a PDF conversion error and should be separated.
3,9,Souththe,... of discriminatory practices in:<br>the **Souththe** North.Outcome:<br>Learners can demonstr...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'South' and 'the' have been merged due to a PDF conversion error and should be separated.
4,9,outside of,... why the<br>situation was still unequal **outside of** the<br>South.<br>Advanced activity:<br>...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"The idiom 'outside of' is acceptable and commonly used in British English, though 'outside' alone is also correct."
5,9,Klux,...rganisation and<br>methods of the Ku<br>**Klux** Klan - Separate<br>but equal policy to<...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'Klux' is part of the proper noun 'Ku Klux Klan' and should not be flagged as an error.
6,9,Colored,...ssociation<br>for the Advancement<br>of **Colored** People<br>(NAACP)   History  <br>Britan...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'Colored People' is part of the official proper noun 'National Association for the Advancement of Colored People (NAACP)'.
7,14,policieswhy,"...and the car, the Republican Presidents' **policieswhy** some groups including farmers and ""old""...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'policies' and 'why' have been merged due to a PDF conversion error and should be separated.
8,14,1920's,...  | Website(s):<br>Economic Boom in the **1920's**: Causes   Schoolshistory.org.uk<br>Vide...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,70,"While '1920s' (without an apostrophe) is the preferred style for decades in formal writing, '1920's' is not strictly incorrect."
9,14,20's,...tory.org.uk<br>Video(s):<br>The Roaring **20's**: Crash Course US History               ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,The phrase 'The Roaring 20's' is a title of a resource and should be preserved as written.
10,14,televisionspeakeasy,"...eloped, including:the radio, cinema and **televisionspeakeasy** culture and the Jazz Age.              ...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The words 'television' and 'speakeasy' are merged due to a PDF conversion error, requiring separation and appropriate punctuation."
11,14,Northfamous,...n<br>Americans from the<br>South to the **Northfamous** African<br>American artists<br>includin...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The words 'North' and 'famous' are merged due to a PDF conversion error, requiring separation."
12,14,Definiti,"... Culture<br><br>Harlem<br>Renaissance - **Definiti**<br>on, Artists & How It<br>Started   HI...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The word 'Definition' is incorrectly split across a line break due to a PDF conversion error.
13,14,',...r>Website(s):<br>Hoovervilles in the<br>**'**30s: Amazing Vintage<br>Photos That Capt...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The apostrophe in ''30s' is correctly used as an abbreviation for '1930s'.
14,14,Everyday,...br>the Great Depression<br>-<br>Vintage **Everyday**<br>Largest U.S.<br>Hooverville Had Its<...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"'Vintage Everyday' is a proper noun, likely part of a website title, and is correctly capitalized and used in this context."
15,14,Warthe,...s and values following the Second World **Warthe** significance of film and television in ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The words 'War' and 'the' are merged due to a PDF conversion error, requiring separation and appropriate punctuation."
16,14,Learthe,"...etty Friedan, Gloria Steinem and Martha **Learthe** campaigns of the National Organization ...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The name 'Lear' and the word 'the' are merged due to a PDF conversion error, requiring separation and a comma."
17,14,Organization,...artha Learthe campaigns of the National **Organization** for Women (NOW).                       ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'Organization' is correctly capitalized as part of the proper noun 'National Organization for Women'.
18,14,Organization,...r>Describe the reasons for the National **Organization** for Women (NOW)'s key campaigns.       ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'Organization' is correctly capitalized as part of the proper noun 'National Organization for Women'.
19,14,"""","...        | Video(s):<br>Women's History: **""**What is ""second-wave"" feminism?""<br>Seco...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The double quotation mark is correctly used to enclose the title of a video.
20,14,Organization,...Website(s):<br>Highlights   National<br>**Organization** for<br>Women                           ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"The word 'Organization' is part of a proper noun, 'National Organization for Women', which is a specific US-based entity, making the American spelling correct in this context."
21,26,evidencebased,... and quantify change. Learners can draw **evidencebased** conclusions based on statics and numeri...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"The compound adjective 'evidence-based' requires a hyphen when preceding a noun, and its absence is a common PDF conversion artifact."
22,27,ExamplesLearners,...                                      | **ExamplesLearners** will demonstrate creativity when develo...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The words 'Examples' and 'Learners' are merged, which is a clear artifact of the PDF-to-text conversion process."
23,27,ExamplesLearners,...                                      | **ExamplesLearners** will have opportunities to ask meaningf...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The words 'Examples' and 'Learners' are merged, which is a clear artifact of the PDF-to-text conversion process."
