issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,6,of any of,...t replicate or overlap with the content **of any of** the other selected units.**  The qualif...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The phrase 'of any of' is grammatically correct and appropriate in this context.
1,7,eassessment,"...ment of Unit 2 digitally through WJEC's **eassessment** platform.  <span id=""page-6-2""></span> ...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,"eassessment is an acceptable compound noun, often used in educational and technical contexts, and likely reflects WJEC's preferred terminology."
2,8,be able demonstrate,...cted historical topic.  Learners should **be able demonstrate** skills of analysis and evaluation when ...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,"The infinitive marker 'to' is missing, making the phrase 'be able demonstrate' grammatically incorrect; it should be 'be able to demonstrate'."
3,10,da,"...llas/)  ### Video(s):  [Columbus, Vasco **da**](https://www.youtube.com/watch?v=NjEGnc...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'da' is part of the proper noun 'Vasco da Gama' and is correctly used here.
4,12,central America,...519) in the Caribbean and the appeal of **central America**.  ### Activity:  Groupwork presentation...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,'Central America' is a proper geographical name and requires capitalization.
5,12,Groupwork,...eal of central America.  ### Activity:  **Groupwork** presentation activity. Each group is gi...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,"Groupwork is a widely accepted compound noun, especially in educational contexts, and is grammatically correct here."
6,13,civilization,...nderstand the main features of Aztec<br>**civilization**.<br>Advanced activity:<br>Assess the re...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,95,The British English spelling for 'civilisation' uses an 's' rather than a 'z'.
7,13,Civilization,...ing the Rich<br>History of the Aztec<br>**Civilization**                                        ...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,95,The British English spelling for 'Civilisation' uses an 's' rather than a 'z'.
8,13,VelazquezCortés,"... Aztecs,<br>including;relations with<br>**VelazquezCortés**'s expedition to<br>Mexico.             ...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The names 'Velazquez' and 'Cortés' have been merged into a single word, indicating a parsing error."
9,13,Cuellar,"...r>Biography of Diego<br>Velazquez de<br>**Cuellar**,<br>Conquistador<br>Video(s):<br>How th...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'Cuellar' is part of the proper noun 'Diego Velazquez de Cuellar' and is correctly used here.
10,13,Spanishthe,"...r>II, including:the expulsion of the<br>**Spanishthe** Siege of<br>Tenochtitlan.              ...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'Spanish' and 'the' are merged due to a PDF parsing error and require a space.
11,20,Encyclopedia,...s://www.worldhistory.org/Encomienda/)  [**Encyclopedia**](https://www.worldhistory.org/Encomiend...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"The word 'Encyclopedia' is correctly spelled and part of a linked resource title, not a grammatical error."
12,21,15 century,...<br>•<br>Tenochtitlan // Aztec empire ( **15 century** )                                      ...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,'15 century' should be '15th century' to correctly form the ordinal number.
13,21,but,... out how<br>they can expand their empire** but** they do it through a<br>violent way.<br...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,A comma is required before the conjunction 'but' when it connects two independent clauses.
14,24,ExamplesDebating,...-------------------------| |          | **ExamplesDebating** the most important reason why an event ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,'Examples' and 'Debating' are merged due to a PDF parsing error and should be separated.
15,24,happenedAsking,... the most important reason why an event **happenedAsking** questions for clarification and develop...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,'happened' and 'Asking' are merged due to a PDF parsing error and should be separated.
16,24,ExamplesRole,"...ontent of their writing. | |          | **ExamplesRole** modelling of answers through teacher, p...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,'Examples' and 'Role' are merged due to a PDF parsing error and should be separated.
17,25,evidencebased,... and quantify change. Learners can draw **evidencebased** conclusions based on statistics and num...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,'evidencebased' should be hyphenated as 'evidence-based' when used as a compound adjective.
18,26,crosscurricular,...tunities will allow learners to develop **crosscurricular** skills which underpin the four purposes...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,'crosscurricular' should be hyphenated as 'cross-curricular' when used as a compound adjective.
