issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,6,of any of,...t replicate or overlap with the content **of any of** the other selected units.**  The qualif...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,The phrase 'of any of' is grammatically correct and commonly used in this context.
1,12,EBook,"...african-kingdoms-ebook-.pdf)*, A [Level **EBook**: OCR](https://www.ocr.org.uk/Images/208...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,"EBook is an acceptable variant of 'e-book' in this context, especially as part of a resource title."
2,13,Empirehis,"...usivity to the stability of the Songhai **Empirehis** death in 1492, and the end of the Sonni...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The words 'Empire' and 'his' have merged due to a PDF conversion error, requiring a space and a comma for grammatical correctness."
3,13,Anfeo,"...nasty under Sonni Baru at the Battle of **Anfeo**,1493. | The reasons for and impact of S...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The comma and year '1493' are merged with the proper noun 'Anfeo' due to a PDF conversion error, requiring a space after the comma."
4,13,Anfeo,...Empire) and the events of the Battle of **Anfeo**. | Activities:<br>summarise Sonni Ali's...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,'Anfeo' is a proper noun referring to a specific battle and is correctly spelled.
5,13,empirewrite,...mine its impact on the stability of the **empirewrite** an obituary for Sonni Alidebate – what ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The words 'empire' and 'write' have merged due to a PDF conversion error, requiring a space between them."
6,13,Alidebate,...f the empirewrite an obituary for Sonni **Alidebate** – what was Sonni Ali's greatest achieve...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The proper noun 'Ali' and the word 'debate' have merged due to a PDF conversion error, requiring a space between them."
7,13,EBook,"...sack, 2016<br>African Kingdoms, A Level **EBook**: OCR<br>Video(s):<br>Songhai Empire: Th...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,"EBook is an acceptable variant of 'e-book' in this context, especially as part of a resource title."
8,13,Africas,...ideo(s):<br>Songhai Empire: The Fall of **Africas** Greatest Empire | 2 hours | |----------...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,The word 'Africas' requires an apostrophe to correctly form the possessive 'Africa's'.
9,14,EBook,"... Chapter 5<br>African Kingdoms, A Level **EBook**: OCR                                   ...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,"EBook is an acceptable variant of 'e-book' in this context, especially as part of a resource title."
10,14,Qu,...Quranic Verses on Education<br>(Qiratul **Qu**'ran) to consider how these<br>would hav...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"Qiratul Qu'ran is a specific transliteration of a proper noun, and the tool is incorrectly flagging a part of it."
11,14,EBook,"...ook(s):<br>African Kingdoms, A<br>Level **EBook**: OCR<br>The Epic of Askia<br>Muhammad,<...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,85,"EBook is an accepted and commonly used term for an electronic book, especially in resource listings."
12,17,and,...g which goods were traded in<br>the city** and** how did this contribute to<br>the prosp...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"The conjunction 'and' correctly connects two parallel noun clauses, and no comma is required."
13,17,EBook,"...ook(s):<br>African Kingdoms, A<br>Level **EBook**: OCR<br>Timbuktu & the<br>Songhay Empir...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,85,"EBook is an accepted and commonly used term for an electronic book, especially in resource listings."
14,19,well organised,...ies:  - discussion why was a strong and **well organised** army important for the Songhai Empire? ...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,Well-organised should be hyphenated as a compound adjective preceding the noun it modifies in British English.
15,20,classthe,...anisation of people according to social **classthe** role of women including artisan work an...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,Classthe is a parsing error where two words have been merged during PDF extraction.
16,20,responsibilitiesresearch,...ructure showing the different roles and **responsibilitiesresearch** a type of craft used in the Songhai Emp...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,Responsibilitiesresearch is a parsing error where two words have been merged during PDF extraction.
17,20,Empirecreative,...rch a type of craft used in the Songhai **Empirecreative** writing – a diary extract for a woman l...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,Empirecreative is a parsing error where two words have been merged during PDF extraction.
18,20,extract,...onghai Empirecreative writing – a diary **extract** for a woman living in the Songhai Empir...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,Extract is correctly used in the context of 'diary extract'.
19,20,Empirecompare,...tract for a woman living in the Songhai **Empirecompare** and contrast the roles of men and women...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,Empirecompare is a parsing error where two words have been merged during PDF extraction.
20,22,and,...wing the hierarchy of the Songhai Empire** and** where slaves fitted within this - debat...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,The conjunction 'and' is used correctly to connect elements within a bulleted list activity.
21,22,th,.../songhai-african-empire-15-16th-century)**th** [century](https://www.sahistory.org.za/...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"The highlighting of 'th' is a parsing artifact from the URL and split text '16th century', which is grammatically correct."
22,23,EBook,"...ook(s):<br>African Kingdoms, A<br>Level **EBook**:<br>OCR | 2 hours                     |...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,'EBook' is an acceptable variant or specific title capitalization for 'electronic book' in this context.
23,25,first person,...ccount for the Battle of Tondibi from a **first person** perspective - look at a map(s) of the S...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,70,"While 'first-person' is often hyphenated as a compound adjective, 'first person' is also widely understood and acceptable."
24,25,EBook,"...african-kingdoms-ebook-.pdf)*, A [Level **EBook**: OCR](https://www.ocr.org.uk/Images/208...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,'EBook' is an acceptable variant or specific title capitalization for 'electronic book' in this context.
25,29,ExamplesDebating,...-------------------------| |          | **ExamplesDebating** the most important reason why an event ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"'Examples' and 'Debating' are merged words that should be separated, likely by a colon or line break, due to a PDF conversion error."
26,29,happenedAsking,... the most important reason why an event **happenedAsking** questions for clarification and develop...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"'happened' and 'Asking' are merged words that should be separated by punctuation, indicating a parsing error."
27,29,ExamplesRole,"...ontent of their writing. | |          | **ExamplesRole** modelling of answers through teacher, p...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"'Examples' and 'Role' are merged words that should be separated, likely by a colon or line break, due to a PDF conversion error."
28,30,evidencebased,... and quantify change. Learners can draw **evidencebased** conclusions based on statistics and num...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,95,'Evidence-based' is a compound adjective and requires a hyphen according to British English conventions (OED).
29,31,crosscurricular,...tunities will allow learners to develop **crosscurricular** skills which underpin the four purposes...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,95,'Cross-curricular' is a compound adjective and requires a hyphen according to British English conventions (OED).
30,34,outside of,"...nism            | Beliefs and practices **outside of** the world's major religions,<br>often b...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,"The phrase 'outside of' is grammatically acceptable and commonly used, making this a stylistic preference rather than an objective error."
31,34,Third longest,...              | | River Niger         | **Third longest** river in Africa flowing through several...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The definite article 'the' is required before a superlative adjective like 'third longest' in this context.
