issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,7,sixstage,"...rtake a fieldwork enquiry following the **sixstage** enquiry process.  The assignment, which...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"The instruction explicitly states not to report hyphenation issues, treating them as parsing artifacts."
1,13,and,... limited period in which to collect data** and** therefore it is important to consider t...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,70,"Adding a comma before 'and therefore' improves readability in formal writing, but its omission does not create ambiguity."
2,14,sampling,....<br>Learners need to be able to choose **sampling** sites which will provide them with<br>t...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"The word 'sampling' is correctly used as a noun in this context, referring to sampling sites."
3,18,br,...---------------------------| | <b>2.3.1<**br**/>Selecting and using<br/>appropriate<br...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,This is an HTML line break tag (`<br/>`) and not a linguistic error in the text.
4,18,br,...---| | <b>2.3.1<br/>Selecting and using<**br**/>appropriate<br/>quantitative<br/>and<b...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,This is an HTML line break tag (`<br/>`) and not a linguistic error in the text.
5,18,br,...br/>Selecting and using<br/>appropriate<**br**/>quantitative<br/>and<br/>qualitative<b...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,This is an HTML line break tag (`<br/>`) and not a linguistic error in the text.
6,18,br,... using<br/>appropriate<br/>quantitative<**br**/>and<br/>qualitative<br/>techniques</b>...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,This is an HTML line break tag (`<br/>`) and not a linguistic error in the text.
7,18,br,...r/>appropriate<br/>quantitative<br/>and<**br**/>qualitative<br/>techniques</b><br>Lear...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,This is an HTML line break tag (`<br/>`) and not a linguistic error in the text.
8,18,br,...r/>quantitative<br/>and<br/>qualitative<**br**/>techniques</b><br>Learners should be a...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,This is an HTML line break tag (`<br/>`) and not a linguistic error in the text.
9,18,mapsmedian,"..., including calculating:<br>distance on **mapsmedian**, mean, range and modepercentagesother r...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"The words 'maps' and 'median' are merged due to a parsing error, requiring a comma or space for clarity."
10,18,modepercentagesother,"...distance on mapsmedian, mean, range and **modepercentagesother** relevant techniques. | The way data is ...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,Words are merged due to PDF-to-text conversion; commas and spaces are missing between list items.
11,18,and,... when they are drawing their conclusions** and** therefore it is important they are taug...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,80,A comma before 'and' would improve readability in this long sentence joining two independent clauses.
12,18,but,... is a skill that most learners will have** but** they should know why they are doing thi...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A comma is grammatically required before 'but' when it connects two independent clauses.
13,18,rangeMann-Whitney,"...er, some examples are:<br>Interquartile **rangeMann-Whitney** U TestManning's nWetted perimeter |  {1...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,Words are merged due to PDF-to-text conversion; a space is missing between list items.
14,18,TestManning,...e:<br>Interquartile rangeMann-Whitney U **TestManning**'s nWetted perimeter |  {19}------------...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,Words are merged due to PDF-to-text conversion; a space is missing between list items.
15,18,nWetted,...rtile rangeMann-Whitney U TestManning's **nWetted** perimeter |  {19}----------------------...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,Words are merged due to PDF-to-text conversion; a space is missing between list items.
16,20,cross sections,... range of variables within a data set - **cross sections** and transects a line graph which shows ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,"This is a term being defined in a bullet point, and the telegraphic style is acceptable in this context."
17,20,cross section,...ch shows a visual representation of the **cross section**/transect being measured.  Appropriate m...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,Both 'cross section' (two words) and 'cross-section' (hyphenated) are acceptable spellings for the noun.
18,22,inter-relationships,...>• environment<br>• interpretation<br>• **inter-relationships**<br>• place and space<br>• process<br>• ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,"'Inter-relationships' with a hyphen is an acceptable spelling, and hyphenation issues should not be reported."
19,22,enquirycollecting,"... of the enquiry, including:planning the **enquirycollecting** evidenceprocessing and presenting dataa...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,Words are merged due to PDF-to-text conversion; a space is missing between list items.
