issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,5,Proforma,...and Declaration Form - Unit 1 Programme **Proforma**  All information regarding the submissi...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,Proforma is a valid noun used correctly in the context of a document title.
1,6,audio visual,...itable format):  - audio presentation - **audio visual** presentation - PowerPoint - written pro...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,"The tool is flagging a missing hyphen for a compound adjective, which is explicitly excluded from reporting due to being a common OCR artifact."
2,8,has,...mining the extent to which the learners **has** met the criteria within the relevant ba...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,The plural subject 'learners' requires the plural verb 'have' for correct subject-verb agreement.
3,13,has,...mining the extent to which the learners **has** met the criteria within the relevant ba...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,The plural subject 'learners' requires the plural verb 'have' for correct subject-verb agreement.
4,13,and,...tifying individual levels of achievement** and** they do not correlate with grade bounda...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,70,"Adding a comma before 'and' would be a stylistic improvement for clarity between two independent clauses, but its omission does not create ambiguity."
5,16,well developed,"...in response to the chosen stimulus, are **well developed** to produce a refined and coherent piece...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,"When 'well developed' follows the verb 'to be' as a predicate adjective, hyphenation is optional and the unhyphenated form is acceptable."
6,21,makeup,"...erent characters (two costume, hair and **makeup** designs in total) - sketches of both co...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,Both 'makeup' (one word) and 'make-up' (hyphenated) are acceptable spellings for the noun in British English.
7,38,makeup,"... contribution through costume, hair and **makeup** design to the performance. - The overal...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,Both 'makeup' (one word) and 'make-up' (hyphenated) are acceptable spellings for the noun in British English.
8,39,makeup,"... contribution through costume, hair and **makeup** design to the performance. - The overal...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,Both 'makeup' (one word) and 'make-up' (hyphenated) are acceptable spellings for the noun in British English.
9,40,makeup,"... contribution through costume, hair and **makeup** design to the performance. • The overal...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,Both 'makeup' (one word) and 'make-up' (hyphenated) are acceptable spellings for the noun in British English.
