issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,13,but,...and role play is approximately 2 minutes** but** this will depend on each candidate. The...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,70,Adding a comma before 'but' is a stylistic choice when connecting two independent clauses and does not impact clarity here.
1,17,role play,... verbs to support them in responding to **role play** tasks and that they have the opportunit...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,'Role play' as two words is an acceptable noun phrase in British English and is consistent with WJEC's common usage.
2,17,re ordering,"...tivities such as drilling verb endings, **re ordering** sentences and choosing the correct verb...",PassCode.LTC,ErrorCategory.SPELLING_ERROR,95,"'Reordering' should be written as a single word, not two words separated by a space."
3,17,in past,"...ure learners can recognise time markers **in past**, present and future tenses, through app...",PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The definite article 'the' is missing before 'past' in the phrase 'in the past'.
4,19,Spanish speaking,...gion or cultural practice of Spain or a **Spanish speaking** country. In preparation for delivering ...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,95,'Spanish-speaking' should be hyphenated as it functions as a compound adjective modifying 'country'.
5,20,and,... activities would be part of preparation** and** it would be important to highlight that...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,70,Adding a comma before 'and' is a stylistic choice when connecting two independent clauses and does not impact clarity here.
6,21,Spanish speaking,... may wish to watch a film<br>based in a **Spanish speaking** country such as 'La Misma Luna'<br>whic...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,95,'Spanish-speaking' should be hyphenated as it functions as a compound adjective modifying 'country'.
7,21,Spanish speaking,"...ravel or exchange with learners in a<br>**Spanish speaking** country, with the significant level of ...",PassCode.LTC,ErrorCategory.SPELLING_ERROR,95,'Spanish-speaking' should be hyphenated as it functions as a compound adjective modifying 'country'.
8,21,Spanish speaking,"...dcasts, interviews and video clips from **Spanish speaking** media such as BBC Mundo may be useful w...",PassCode.LTC,ErrorCategory.SPELLING_ERROR,95,'Spanish-speaking' should be hyphenated as it functions as a compound adjective modifying 'media'.
9,21,Spanish speaking,...ics which have impact both in Wales and **Spanish speaking** countries.<br>It may be interesting to ...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,95,'Spanish-speaking' should be hyphenated as it functions as a compound adjective modifying 'countries'.
10,21,Spanish speaking,...their experiences in Wales and those in **Spanish speaking** countries as well as linking to many ar...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"The tool is likely suggesting hyphenation for 'Spanish-speaking', but the instructions state to ignore hyphenation issues."
11,21,Spanish speaking,"...sustainability in relation to Spain and **Spanish speaking** countries. For example, they could prac...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"The tool is likely suggesting hyphenation for 'Spanish-speaking', but the instructions state to ignore hyphenation issues."
12,21,audio visual,... well as listening to and responding to **audio visual** material which would allow listening an...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"The tool is likely suggesting hyphenation for 'audio-visual', but the instructions state to ignore hyphenation issues."
13,21,Spanish speaking,...r these issues in relation to people in **Spanish speaking** countries.<br>Below are some examples o...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"The tool is likely suggesting hyphenation for 'Spanish-speaking', but the instructions state to ignore hyphenation issues."
14,21,Spanish speaking,...ope to explore diversity throughout the **Spanish speaking** world. Learners could focus on a partic...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"The tool is likely suggesting hyphenation for 'Spanish-speaking', but the instructions state to ignore hyphenation issues."
15,21,Spanish speaking,"...d. Learners could focus on a particular **Spanish speaking** country or area, or explore an issue in...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"The tool is likely suggesting hyphenation for 'Spanish-speaking', but the instructions state to ignore hyphenation issues."
16,21,Spanish speaking,...range of everyday settings in Spain and **Spanish speaking** countries and allows learners to practi...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"The tool is likely suggesting hyphenation for 'Spanish-speaking', but the instructions state to ignore hyphenation issues."
17,27,Spanish speaking,...e in a range of real-life situations in **Spanish speaking** countries through the role play task. L...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"The tool is likely suggesting hyphenation for 'Spanish-speaking', but the instructions state to ignore hyphenation issues."
18,29,a,...| | Háblame de la última vez que fuiste **a** un restaurante.                        ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The word 'a' is a correct Spanish preposition in the phrase 'fuiste a un restaurante' (you went to a restaurant).
19,29,el verano,...iciste durante las vacaciones escolares **el verano** pasado?          | | ¿Qué harás para tu...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The phrase 'el verano' (the summer) is grammatically correct Spanish in the context 'el verano pasado' (last summer).
20,29,a,...             | | ¿Recomendarías visitar **a** España? ¿Por qué (no)?                 ...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,"The personal 'a' is incorrectly used before a direct object that is a place, not a person, with the verb 'visitar' in Spanish."
21,28,a,...          |  | | ¿Recomendarías visitar **a** España? ¿Por qué (no)? |  | | ¿Qué cosa...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,"The verb 'visitar' does not take the personal 'a' when its direct object is a place, making 'a España' incorrect."
